Animal Name,labels,Image Link,Profile Link,,
Soft Scale Dark Empty Back pinstripe,Dark pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/blue2021/2024/11/20241104185553.416-20241101_221219-396x396c.jpeg?signature=E90EC2D8546F93A6935388A562E8EB40698EB742901F15BA2E0E84A845D1297D 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/blue2021/2024/11/20241104185553.416-20241101_221219-198x198c.jpeg?signature=6CE56B277777B05B7C7BED84AB23A18AC64C8A099FD978E1BFC85D5AFE806763 1x",/us/c/reptiles/lizards/crested-geckos/2702167,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/blue2021/2024/11/20241104185553.416-20241101_221219-396x396c.jpeg?signature=E90EC2D8546F93A6935388A562E8EB40698EB742901F15BA2E0E84A845D1297D 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/blue2021/2024/11/20241104185553.416-20241101_221219-198x198c.jpeg?signature=6CE56B277777B05B7C7BED84AB23A18AC64C8A099FD978E1BFC85D5AFE806763 1x"
Emptyback pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/toptiergenetics/2024/10/20241014170457.216-IMG_7006-396x396c.jpeg?signature=0B389FC222DF60CA383D1414F74F068F9AEFC0816E1B42F7A90875259A0BEC85 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/toptiergenetics/2024/10/20241014170457.216-IMG_7006-198x198c.jpeg?signature=05018B05AF3F106051B1F441E03A23FD829D158E4A093C5E5625E2211660CDAF 1x",/us/c/reptiles/lizards/crested-geckos/2649103,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/toptiergenetics/2024/10/20241014170457.216-IMG_7006-396x396c.jpeg?signature=0B389FC222DF60CA383D1414F74F068F9AEFC0816E1B42F7A90875259A0BEC85 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/toptiergenetics/2024/10/20241014170457.216-IMG_7006-198x198c.jpeg?signature=05018B05AF3F106051B1F441E03A23FD829D158E4A093C5E5625E2211660CDAF 1x"
Crowned Drippy Dorsal pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fringemorphs/2024/11/20241104162524.798-Heracles-396x396c.jpeg?signature=B31BD674D890225851A0DE34081EC3667DEE98957A85D74171A1E40BAE363DD2 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fringemorphs/2024/11/20241104162524.798-Heracles-198x198c.jpeg?signature=240A80F9FC59FA2CC86C7C2DE802810152D4D5EC594D9598B721D2A936F2346E 1x",/us/c/reptiles/lizards/crested-geckos/2701814,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fringemorphs/2024/11/20241104162524.798-Heracles-396x396c.jpeg?signature=B31BD674D890225851A0DE34081EC3667DEE98957A85D74171A1E40BAE363DD2 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/fringemorphs/2024/11/20241104162524.798-Heracles-198x198c.jpeg?signature=240A80F9FC59FA2CC86C7C2DE802810152D4D5EC594D9598B721D2A936F2346E 1x"
Reverse pinstripe Yellow,pinstripe Yellow,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/mitch-a-tech/2023/06/20230619150018.169-IMG_2208-396x396c.jpeg?signature=3733DA7C565F6BAAD437028A548225D2F03F64207AC81D1A780AB18CEC939B08 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/mitch-a-tech/2023/06/20230619150018.169-IMG_2208-198x198c.jpeg?signature=1B716DCD0F3D463B6E6BBE24D6AC730532E614892FE149746EE0212E9707B720 1x",/us/c/reptiles/lizards/crested-geckos/1657685,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/mitch-a-tech/2023/06/20230619150018.169-IMG_2208-396x396c.jpeg?signature=3733DA7C565F6BAAD437028A548225D2F03F64207AC81D1A780AB18CEC939B08 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/mitch-a-tech/2023/06/20230619150018.169-IMG_2208-198x198c.jpeg?signature=1B716DCD0F3D463B6E6BBE24D6AC730532E614892FE149746EE0212E9707B720 1x"
Danger X Bumblebee Tuna Yellow Reverse pinstripe,Yellow pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240308140709.408-20240307_104926-396x396c.jpeg?signature=C5DA6E1A85498874DE32D23C3EDDA7B7F92ECDBFCD186476F036D43F96CCF538 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240308140709.408-20240307_104926-198x198c.jpeg?signature=998B63D7956678ABD36634A3EEB362BEB0E294F65E4F0619A7427E297D914073 1x",/us/c/reptiles/lizards/crested-geckos/1747336,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240308140709.408-20240307_104926-396x396c.jpeg?signature=C5DA6E1A85498874DE32D23C3EDDA7B7F92ECDBFCD186476F036D43F96CCF538 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240308140709.408-20240307_104926-198x198c.jpeg?signature=998B63D7956678ABD36634A3EEB362BEB0E294F65E4F0619A7427E297D914073 1x"
Chevelle X Aurelia pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315094110.867-20240308_132721-396x396c.jpeg?signature=77062F59EDF1A3FA3A6AFC4A44D48B7A5EA1E89C5B675451CC50552B3F9DD442 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315094110.867-20240308_132721-198x198c.jpeg?signature=123F7A1939876C1ABE100076C5C2C695F8CE637261CF0DCECABB4F6F6D1F79D3 1x",/us/c/reptiles/lizards/crested-geckos/2225856,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315094110.867-20240308_132721-396x396c.jpeg?signature=77062F59EDF1A3FA3A6AFC4A44D48B7A5EA1E89C5B675451CC50552B3F9DD442 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315094110.867-20240308_132721-198x198c.jpeg?signature=123F7A1939876C1ABE100076C5C2C695F8CE637261CF0DCECABB4F6F6D1F79D3 1x"
Danger X Orange Chicken pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315102807.586-20240308_171134-396x396c.jpeg?signature=BC90F63B1C8259E81B48FAE1EC51240B7E576B7E6E576CD55DECC5BEF8C4C5EA 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315102807.586-20240308_171134-198x198c.jpeg?signature=D96B394AA5D4D5D30F14C3E9672C34E528C900E1BD2077013991B8DF2F64B431 1x",/us/c/reptiles/lizards/crested-geckos/2225884,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315102807.586-20240308_171134-396x396c.jpeg?signature=BC90F63B1C8259E81B48FAE1EC51240B7E576B7E6E576CD55DECC5BEF8C4C5EA 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315102807.586-20240308_171134-198x198c.jpeg?signature=D96B394AA5D4D5D30F14C3E9672C34E528C900E1BD2077013991B8DF2F64B431 1x"
Danger X Orange Chicken pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315103206.103-20240308_170845-396x396c.jpeg?signature=331D72078127C66E2F249AD419FD6EBD46BA02BF0ED7DD2C737ED8EBF11E2300 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315103206.103-20240308_170845-198x198c.jpeg?signature=B65221F8565DAE69462D81B5342FA3C51D5AD9BF6335753D0670DFCD24AA819B 1x",/us/c/reptiles/lizards/crested-geckos/2225887,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315103206.103-20240308_170845-396x396c.jpeg?signature=331D72078127C66E2F249AD419FD6EBD46BA02BF0ED7DD2C737ED8EBF11E2300 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chase_lagrone/2024/03/20240315103206.103-20240308_170845-198x198c.jpeg?signature=B65221F8565DAE69462D81B5342FA3C51D5AD9BF6335753D0670DFCD24AA819B 1x"
Super Soft Scale Diet Emptyback Partial pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chasedspruiell/2024/05/20240511111716.169-DSC_0023-396x396c.jpeg?signature=7B55826C54408E0CE87BCA76C2B22B3143587805D42CBA455D02D71722B90DB3 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chasedspruiell/2024/05/20240511111716.169-DSC_0023-198x198c.jpeg?signature=3B64D59B2D3750FC280CE15B5DB54F9BD0BC5C8B12789BFFDBBEBA9C2EC4AC4D 1x",/us/c/reptiles/lizards/crested-geckos/2320827,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chasedspruiell/2024/05/20240511111716.169-DSC_0023-396x396c.jpeg?signature=7B55826C54408E0CE87BCA76C2B22B3143587805D42CBA455D02D71722B90DB3 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/chasedspruiell/2024/05/20240511111716.169-DSC_0023-198x198c.jpeg?signature=3B64D59B2D3750FC280CE15B5DB54F9BD0BC5C8B12789BFFDBBEBA9C2EC4AC4D 1x"
Dark Patterned pinstripe,Dark pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/11/20241104103934.333-1000024464-396x396c.jpeg?signature=581CB19C26AA45999B6A278C0198BC81C9971C9F7B2C25F2BFDDFA86632921E6 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/11/20241104103934.333-1000024464-198x198c.jpeg?signature=8581ED2405220A714A3D52BF5D6A4EAC20B50853A855E4D5029F98EA5BD0FC72 1x",/us/c/reptiles/lizards/crested-geckos/2701392,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/11/20241104103934.333-1000024464-396x396c.jpeg?signature=581CB19C26AA45999B6A278C0198BC81C9971C9F7B2C25F2BFDDFA86632921E6 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/11/20241104103934.333-1000024464-198x198c.jpeg?signature=8581ED2405220A714A3D52BF5D6A4EAC20B50853A855E4D5029F98EA5BD0FC72 1x"
EMPTY BACK Partial pinstripe,pinstripe,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/08/20240805084201.200-1000020751-396x396c.jpeg?signature=631060A95FA22D1356E6601B1CC4FF7D0B00B5BC077EDFFC794C8D24FF935020 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/08/20240805084201.200-1000020751-198x198c.jpeg?signature=BA4E31BA2BA4856803B58B7CC2684ED1CBD371494E7BC1D75FE1036700316D74 1x",/us/c/reptiles/lizards/crested-geckos/2333654,,"https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/08/20240805084201.200-1000020751-396x396c.jpeg?signature=631060A95FA22D1356E6601B1CC4FF7D0B00B5BC077EDFFC794C8D24FF935020 2x, https://d20zyr0oabjxc2.cloudfront.net/variants/media/raw_images/rainydaygeckos/2024/08/20240805084201.200-1000020751-198x198c.jpeg?signature=BA4E31BA2BA4856803B58B7CC2684ED1CBD371494E7BC1D75FE1036700316D74 1x"
